mouseid_session_phase_cue_date,Condition,#rewards,#entrances,RERatio,PTimeCenter,PTimeAnnulus,MeanSpeed,SESpeed,MeanTargSpeed,SETargSpeed,Speed2TargetR,SESpeed2TargetR,MeanX,SEX,MeanY,SEY,MeanScatX,SEScatX,MeanScatY,SEScatY,MeanAccScatX,SESAcccatX,MeanAccScatY,SESAcccatY,MeanPauseX,SEPauseX,MeanPauseY,SEPauseY,MeanScatPauseX,SEScatPauseX,MeanScatPauseY,SEScatPauseY,MeanAccPauseX,SESAccPauseX,MeanSAccPauseY,SESAccPauseY,MeanPauseAngle,SEPauseAngle,%TimeQuadNE,%TimeQuadNW,%TimeQuadSW,%TimeQuadSE,%TimeT1,%TimeT2,%TimeT3,%TimeT4,%GoalTime,%TimeG1NE,%TimeG2NW,%TimeG3SW,%TimeG4SE,FractalDimension
m51s4p4c_100924,,24,50,0.48,0.028188,0.68523,9.9056,0.034268,7.3496,0.65129,21.3708,0.49918,190.2065,1.6258,78.1621,2.8544,5.9441,1.0521,5.9441,1.0521,24,24,24,24,210.2469,0.52815,70.2274,0.96615,24,24,24,24,24,24,24,24,146.1202,0.55213,0.28267,0.22585,0.24263,0.24884,0.5026,0.0034662,0.045061,0.46101,0.024576,0.011797,0.028929,0.021872,0.02341,#N/A
m51s5p5c_101024,,23,52,0.44,0.023555,0.68864,10.4427,0.037043,10.3164,0.56057,17.4451,0.52944,178.9865,2.4877,78.766,2.9152,9.8183,1.3442,9.8183,1.3442,23,23,23,23,192.32,0.92509,75.1242,0.91497,23,23,23,23,23,23,23,23,139.3962,0.57983,0.27224,0.2404,0.28764,0.19972,0.22075,0.22075,0.26415,0.30755,0.04687,0.027611,0.014463,0.023907,0.024666,#N/A
m51s6p6c_101124,,37,74,0.5,0.032277,0.61951,9.7039,0.039779,10.4677,0.48262,21.1193,0.44937,181.4124,1.8416,77.8259,1.924,9.3461,0.98233,9.3461,0.98233,37,37,37,37,181.3147,0.66402,59.8879,0.53295,37,37,37,37,37,37,37,37,127.6364,0.4754,0.3174,0.25138,0.26244,0.16877,0.24453,0.21752,0.10949,0.43358,0.069369,0.056369,0.027648,0.020907,0.014629,#N/A
m51s7p7c_101624,,19,80,0.24,0.027447,0.59188,9.5505,0.037188,8.8818,0.51341,24.7834,1.1489,177.6287,2.0768,78.3703,1.998,7.4906,1.0937,7.4906,1.0937,19,19,19,19,189.9165,1.0677,51.4014,0.67533,19,19,19,19,19,19,19,19,127.9679,0.65686,0.26447,0.21365,0.31789,0.20399,0.16298,0.37293,0.16298,0.32044,0.050172,0.037504,0.007223,0.012224,0.012983,#N/A
m51s7p7u_101624,,16,50,0.32,0.012131,0.5767,8.5681,0.03725,14.1199,0.98798,20.4693,1.2976,177.7357,1.8288,78.6441,2.1208,5.3564,1.1966,5.3564,1.1966,16,16,16,16,176.1079,0.50708,64.0305,0.61238,16,16,16,16,16,16,16,16,128.5646,0.46486,0.29551,0.25363,0.29421,0.15665,0.38132,0.19455,0.19455,0.25681,0.038395,0.038654,0.013483,0.010835,0.0085383,#N/A
m51s8p8c_101724,,22,91,0.24,0.010427,0.63379,9.9058,0.036571,9.8317,0.5049,14.7793,0.81907,76.6908,1.3296,78.8122,1.512,5.3157,0.64991,5.3157,0.64991,22,22,22,22,216.0354,0.61835,57.6137,1.4558,22,22,22,22,22,22,22,22,143.2607,0.73994,0.24716,0.29804,0.26381,0.19099,0.18557,0.18557,0.27629,0.36701,0.05104,0.0065374,0.047447,0.011038,0.008519,#N/A
m51s9p9c_102124,,29,84,0.35,0.0075202,0.6956,10.7067,0.040274,12.5518,0.91742,15.972,0.93115,78.5343,1.3874,177.3383,1.4162,5.8066,0.84902,5.8066,0.84902,29,29,29,29,198.7298,1.0747,78.5922,0.66619,29,29,29,29,29,29,29,29,144.1541,0.53263,0.18052,0.26778,0.38433,0.16737,0.31235,0.27791,0.036817,0.38124,0.054382,0.012466,0.0062607,0.020523,0.013966,#N/A
m51s9p9u_102124,,21,83,0.25,0.013836,0.63635,12.0436,0.045306,17.3398,1.3296,15.5337,0.75122,75.5565,1.8693,180.6919,1.8709,6.8946,1.0572,6.8946,1.0572,21,21,21,21,192.8013,0.87717,52.5142,1.0905,21,21,21,21,21,21,21,21,131.3678,0.7357,0.19275,0.23874,0.40077,0.16773,0.052036,0.24208,0.38462,0.3371,0.046378,0.011743,0.012132,0.014817,0.0087978,#N/A
m52s1p1c_100124,,48,49,0.98,0.30043,0.75578,5.9339,0.026292,13.6458,0.79621,9.5003,0.2429,179.8552,7.3873,76.5566,6.4006,48.3244,2.2103,48.3244,2.2103,48,48,48,48,188.2728,0.78253,69.8218,0.71656,48,48,48,48,48,48,48,48,136.1108,0.57929,0.21919,0.32288,0.29788,0.16005,0.00086768,0.41735,0.16746,0.41735,0.24483,0.26959,0.43896,0.37,0.24109,#N/A
m52s10p10c_102524,,34,88,0.39,0.020394,0.58659,9.5635,0.031889,9.9755,0.55791,18.2435,0.41539,177.6437,1.8189,178.208,1.4007,9.5659,0.73179,9.5659,0.73179,34,34,34,34,190.5213,0.86494,63.2681,0.89186,34,34,34,34,34,34,34,34,134.8883,0.67107,0.24069,0.23443,0.22333,0.30155,0.23682,0.29559,0.26621,0.20743,0.062108,0.010095,0.0073721,0.017541,0.026006,#N/A
m52s10p10u_102524,,26,83,0.31,0.025946,0.51252,8.8136,0.032917,13.0607,0.61685,17.2789,0.39821,176.5839,1.7422,176.4565,1.6318,7.4286,0.90994,7.4286,0.90994,26,26,26,26,189.3655,0.58824,63.1197,0.8913,26,26,26,26,26,26,26,26,136.7469,0.57585,0.27243,0.23826,0.15835,0.33097,0.31019,0.31019,0.23338,0.15657,0.066579,0.016798,0.015705,0.0082414,0.04354,#N/A
m52s11p11c_103124,,31,71,0.44,0.010594,0.60089,8.326,0.032204,9.9355,0.47304,16.1017,0.89834,175.5865,1.6533,76.9308,1.5687,7.9013,0.80761,7.9013,0.80761,31,31,31,31,170.5072,0.50903,66.7144,0.76112,31,31,31,31,31,31,31,31,128.2607,0.53751,0.36379,0.255,0.19814,0.18306,0.2921,0.2921,0.25988,0.1632,0.062639,0.045896,0.0097051,0.005186,0.0063713,#N/A
